Año	Nº Accidentes	Grupo	Descripción Ocupación	Sexo	Código	Municipio
2019,0	19	9	Ocupaciones elementales	Mujeres	22158	Monzón
2019,0	3	9	Ocupaciones elementales	Mujeres	22199	Sabiñánigo
2019,0	16	9	Ocupaciones elementales	Mujeres	44013	Alcañiz
2019,0	3	9	Ocupaciones elementales	Mujeres	44025	Andorra
2019,0	46	9	Ocupaciones elementales	Mujeres	44216	Teruel
2019,0	30	9	Ocupaciones elementales	Mujeres	50008	Alagón
2019,0	23	9	Ocupaciones elementales	Mujeres	50025	Almunia de Doña Godina (La)
2019,0	10	9	Ocupaciones elementales	Mujeres	50067	Calatayud
2019,0	7	9	Ocupaciones elementales	Mujeres	50074	Caspe
2019,0	14	9	Ocupaciones elementales	Mujeres	50089	Cuarte de Huerva
2019,0	24	9	Ocupaciones elementales	Mujeres	50095	Ejea de los Caballeros
2019,0	1	9	Ocupaciones elementales	Mujeres	50163	María de Huerva
2019,0	27	9	Ocupaciones elementales	Mujeres	50182	Muela (La)
2019,0	6	9	Ocupaciones elementales	Mujeres	50219	Puebla de Alfindén (La)
2019,0	14	9	Ocupaciones elementales	Mujeres	50251	Tarazona
2019,0	11	9	Ocupaciones elementales	Mujeres	50252	Tauste
2019,0	28	9	Ocupaciones elementales	Mujeres	50272	Utebo
2019,0	570	9	Ocupaciones elementales	Mujeres	50297	Zaragoza
2019,0	24	9	Ocupaciones elementales	Mujeres	50298	Zuera
2015,0	1	1	Directores y gerentes	Hombres	22048	Barbastro
2015,0	1	1	Directores y gerentes	Hombres	22112	Fraga
2015,0	3	1	Directores y gerentes	Hombres	22125	Huesca
2015,0	2	1	Directores y gerentes	Hombres	44216	Teruel
2015,0	2	1	Directores y gerentes	Hombres	50067	Calatayud
2015,0	1	1	Directores y gerentes	Hombres	50089	Cuarte de Huerva
2015,0	1	1	Directores y gerentes	Hombres	50095	Ejea de los Caballeros
2015,0	1	1	Directores y gerentes	Hombres	50182	Muela (La)
2015,0	2	1	Directores y gerentes	Hombres	50272	Utebo
2015,0	6	1	Directores y gerentes	Hombres	50297	Zaragoza
2015,0	2	1	Directores y gerentes	Hombres	50298	Zuera
2015,0	1	1	Directores y gerentes	Mujeres	22125	Huesca
2015,0	5	1	Directores y gerentes	Mujeres	50297	Zaragoza
2015,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	22048	Barbastro
2015,0	12	2	Técnicos y profesionales científicos e intelectuales	Hombres	22125	Huesca
2015,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	22130	Jaca
2015,0	5	2	Técnicos y profesionales científicos e intelectuales	Hombres	22158	Monzón
2015,0	5	2	Técnicos y profesionales científicos e intelectuales	Hombres	44216	Teruel
2015,0	3	2	Técnicos y profesionales científicos e intelectuales	Hombres	50095	Ejea de los Caballeros
2015,0	3	2	Técnicos y profesionales científicos e intelectuales	Hombres	50251	Tarazona
2015,0	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	50272	Utebo
2015,0	81	2	Técnicos y profesionales científicos e intelectuales	Hombres	50297	Zaragoza
2015,0	4	2	Técnicos y profesionales científicos e intelectuales	Mujeres	22048	Barbastro
2015,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	22061	Binéfar
2015,0	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	22112	Fraga
