Mes y año	Mes (código)	Mes nombre	Año	Comarca código	Comarca nombre	Sexo	Temporalidad	Modalidad	orden_modalidad	Grupo de tipo de contrato	Grupo de tipo de contrato	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Mujeres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	1	804	804
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Hombres	Temporal	Ligados a la formación	7	Formación	Formación	1	5	1800	360
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Hombres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	2	540	270
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Mujeres	Temporal	Ligados a la formación	7	Formación	Formación	1	2	720	360
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Mujeres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	4	1440	360
Septiembre 2021	202109	Septiembre	2021	10	Los Monegros	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	178	0	0
Septiembre 2021	202109	Septiembre	2021	10	Los Monegros	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	7	56	8
Septiembre 2021	202109	Septiembre	2021	10	Los Monegros	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	35	0	0
Septiembre 2021	202109	Septiembre	2021	10	Los Monegros	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	5	813	162,6
Septiembre 2021	202109	Septiembre	2021	10	Los Monegros	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	69	6072	88
Septiembre 2021	202109	Septiembre	2021	10	Los Monegros	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	57	2769	48,57894736842105263157894736842105263158
Septiembre 2021	202109	Septiembre	2021	10	Los Monegros	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	2	0	0
Septiembre 2021	202109	Septiembre	2021	10	Los Monegros	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	1	2	36	18
Septiembre 2021	202109	Septiembre	2021	10	Los Monegros	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	12	0	0
Septiembre 2021	202109	Septiembre	2021	10	Los Monegros	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	14	222	15,85714285714285714285714285714285714286
Septiembre 2021	202109	Septiembre	2021	10	Los Monegros	Hombres	Temporal	Ligados a la formación	7	Formación	Formación	1	3	1084	361,333333333333333333333333333333333333
Septiembre 2021	202109	Septiembre	2021	10	Los Monegros	Mujeres	Temporal	Ligados a la formación	7	Formación	Formación	1	2	720	360
Septiembre 2021	202109	Septiembre	2021	10	Los Monegros	Mujeres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	1	180	180
Septiembre 2021	202109	Septiembre	2021	11	Bajo Cinca / Baix Cinca	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	336	0	0
Septiembre 2021	202109	Septiembre	2021	11	Bajo Cinca / Baix Cinca	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	18	233	12,94444444444444444444444444444444444444
Septiembre 2021	202109	Septiembre	2021	11	Bajo Cinca / Baix Cinca	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	119	0	0
