Año	Residencia provincia código	Residencia municipio código	Residencia municipio nombre	Tipo de nacionalidad	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad continente nombre	Sexo	Personas
2020	50	50132	Joyosa (La)	Extranjeros	03	Magreb	África	Hombres	1
2020	50	50132	Joyosa (La)	Extranjeros	04	Resto de África	África	Hombres	1
2020	50	50132	Joyosa (La)	Extranjeros	05	América del Norte	América	Hombres	1
2020	50	50132	Joyosa (La)	Extranjeros	06	Resto de América	América	Hombres	11
2020	50	50132	Joyosa (La)	Extranjeros	07	Asia	Asia	Hombres	3
2020	50	50133	Lagata	Españoles	01	UE-28	Europa	Hombres	55
2020	50	50133	Lagata	Extranjeros	01	UE-28	Europa	Hombres	1
2020	50	50133	Lagata	Extranjeros	03	Magreb	África	Hombres	1
2020	50	50134	Langa del Castillo	Españoles	01	UE-28	Europa	Hombres	62
2020	50	50134	Langa del Castillo	Extranjeros	06	Resto de América	América	Hombres	1
2020	50	50135	Layana	Españoles	01	UE-28	Europa	Hombres	49
2020	50	50135	Layana	Extranjeros	01	UE-28	Europa	Hombres	1
2020	50	50135	Layana	Extranjeros	07	Asia	Asia	Hombres	2
2020	50	50136	Lécera	Españoles	01	UE-28	Europa	Hombres	305
2020	50	50136	Lécera	Extranjeros	01	UE-28	Europa	Hombres	7
2020	50	50136	Lécera	Extranjeros	02	Resto de Europa	Europa	Hombres	4
2020	50	50136	Lécera	Extranjeros	03	Magreb	África	Hombres	15
2020	50	50136	Lécera	Extranjeros	06	Resto de América	América	Hombres	8
2020	50	50137	Leciñena	Españoles	01	UE-28	Europa	Hombres	565
2020	50	50137	Leciñena	Extranjeros	01	UE-28	Europa	Hombres	6
2020	50	50137	Leciñena	Extranjeros	02	Resto de Europa	Europa	Hombres	3
2020	50	50137	Leciñena	Extranjeros	03	Magreb	África	Hombres	3
2020	50	50137	Leciñena	Extranjeros	06	Resto de América	América	Hombres	5
2020	50	50138	Lechón	Españoles	01	UE-28	Europa	Hombres	26
2020	50	50139	Letux	Españoles	01	UE-28	Europa	Hombres	175
2020	50	50139	Letux	Extranjeros	01	UE-28	Europa	Hombres	3
2020	50	50139	Letux	Extranjeros	03	Magreb	África	Hombres	4
2020	50	50139	Letux	Extranjeros	06	Resto de América	América	Hombres	3
2020	50	50140	Litago	Españoles	01	UE-28	Europa	Hombres	92
2020	50	50140	Litago	Extranjeros	06	Resto de América	América	Hombres	1
2020	50	50141	Lituénigo	Españoles	01	UE-28	Europa	Hombres	64
2020	50	50141	Lituénigo	Extranjeros	03	Magreb	África	Hombres	2
2020	50	50142	Lobera de Onsella	Españoles	01	UE-28	Europa	Hombres	14
