Año	Comarca Código	Comarca Nombre	Nº Accidentes	Grupo Grado Código	Grupo Grado Código	Régimen Código (2 dígitos)	Régimen (2 dígitos)
2012,0	13	Campo de Borja	6	Leves	1	05	Trabajadores Autónomos
2012,0	13	Campo de Borja	1	Leves	1	06	Especial Agrario Cuenta Ajena
2012,0	14	Aranda	36	Leves	1	01	General
2012,0	14	Aranda	1	Leves	1	05	Trabajadores Autónomos
2012,0	15	Ribera Alta del Ebro	403	Leves	1	01	General
2012,0	15	Ribera Alta del Ebro	6	Leves	1	05	Trabajadores Autónomos
2012,0	15	Ribera Alta del Ebro	3	Leves	1	06	Especial Agrario Cuenta Ajena
2012,0	16	Valdejalón	348	Leves	1	01	General
2012,0	16	Valdejalón	10	Leves	1	05	Trabajadores Autónomos
2012,0	16	Valdejalón	13	Leves	1	06	Especial Agrario Cuenta Ajena
2012,0	17	D.C. Zaragoza	5935	Leves	1	01	General
2012,0	17	D.C. Zaragoza	97	Leves	1	05	Trabajadores Autónomos
2012,0	17	D.C. Zaragoza	11	Leves	1	06	Especial Agrario Cuenta Ajena
2012,0	18	Ribera Baja del Ebro	77	Leves	1	01	General
2012,0	18	Ribera Baja del Ebro	4	Leves	1	05	Trabajadores Autónomos
2012,0	18	Ribera Baja del Ebro	2	Leves	1	06	Especial Agrario Cuenta Ajena
2012,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp	102	Leves	1	01	General
2012,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2	Leves	1	05	Trabajadores Autónomos
2012,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp	5	Leves	1	06	Especial Agrario Cuenta Ajena
2012,0	20	Comunidad de Calatayud	208	Leves	1	01	General
2012,0	20	Comunidad de Calatayud	14	Leves	1	05	Trabajadores Autónomos
2012,0	20	Comunidad de Calatayud	7	Leves	1	06	Especial Agrario Cuenta Ajena
2012,0	21	Campo de Cariñena	95	Leves	1	01	General
2012,0	21	Campo de Cariñena	13	Leves	1	05	Trabajadores Autónomos
2012,0	21	Campo de Cariñena	1	Leves	1	06	Especial Agrario Cuenta Ajena
2012,0	22	Campo de Belchite	19	Leves	1	01	General
2012,0	22	Campo de Belchite	2	Leves	1	05	Trabajadores Autónomos
2012,0	23	Bajo Martín	52	Leves	1	01	General
2012,0	23	Bajo Martín	4	Leves	1	05	Trabajadores Autónomos
2012,0	23	Bajo Martín	3	Leves	1	06	Especial Agrario Cuenta Ajena
2012,0	24	Campo de Daroca	37	Leves	1	01	General
2012,0	24	Campo de Daroca	4	Leves	1	05	Trabajadores Autónomos
2012,0	24	Campo de Daroca	1	Leves	1	06	Especial Agrario Cuenta Ajena
2012,0	25	Jiloca	64	Leves	1	01	General
2012,0	25	Jiloca	10	Leves	1	05	Trabajadores Autónomos
2012,0	25	Jiloca	1	Leves	1	06	Especial Agrario Cuenta Ajena
2012,0	25	Jiloca	4	Leves	1	07	Especial Agrario Cuenta Propia
2012,0	26	Cuencas Mineras	91	Leves	1	01	General
2012,0	26	Cuencas Mineras	1	Leves	1	05	Trabajadores Autónomos
2012,0	26	Cuencas Mineras	1	Leves	1	06	Especial Agrario Cuenta Ajena
2012,0	27	Andorra-Sierra de Arcos	77	Leves	1	01	General
2012,0	27	Andorra-Sierra de Arcos	3	Leves	1	05	Trabajadores Autónomos
2012,0	27	Andorra-Sierra de Arcos	1	Leves	1	06	Especial Agrario Cuenta Ajena
2012,0	27	Andorra-Sierra de Arcos	63	Leves	1	09	Especial Minería del Carbón
2012,0	28	Bajo Aragón	186	Leves	1	01	General
2012,0	28	Bajo Aragón	7	Leves	1	05	Trabajadores Autónomos
2012,0	28	Bajo Aragón	2	Leves	1	07	Especial Agrario Cuenta Propia
2012,0	29	Comunidad de Teruel	336	Leves	1	01	General
2012,0	29	Comunidad de Teruel	21	Leves	1	05	Trabajadores Autónomos
2012,0	29	Comunidad de Teruel	1	Leves	1	06	Especial Agrario Cuenta Ajena
2012,0	29	Comunidad de Teruel	3	Leves	1	07	Especial Agrario Cuenta Propia
2012,0	30	Maestrazgo	13	Leves	1	01	General
2012,0	30	Maestrazgo	4	Leves	1	05	Trabajadores Autónomos
2012,0	31	Sierra de Albarracín	18	Leves	1	01	General
2012,0	31	Sierra de Albarracín	5	Leves	1	05	Trabajadores Autónomos
2012,0	32	Gúdar-Javalambre	50	Leves	1	01	General
2012,0	32	Gúdar-Javalambre	6	Leves	1	05	Trabajadores Autónomos
2012,0	33	Matarraña / Matarranya	28	Leves	1	01	General
2012,0	33	Matarraña / Matarranya	6	Leves	1	05	Trabajadores Autónomos
2012,0	33	Matarraña / Matarranya	2	Leves	1	07	Especial Agrario Cuenta Propia
2012,0	NC	Municipio del centro de trabajo fuera de Aragón	91	Leves	1	01	General
2012,0	NC	Municipio del centro de trabajo fuera de Aragón	5	Leves	1	06	Especial Agrario Cuenta Ajena
2011,0	01	La Jacetania	158	Leves	1	01	General
2011,0	01	La Jacetania	7	Leves	1	05	Trabajadores Autónomos
2011,0	01	La Jacetania	3	Leves	1	06	Especial Agrario Cuenta Ajena
2011,0	02	Alto Gállego	119	Leves	1	01	General
