Mes y año	Comarca código	Comarca nombre	UE25-UE27-UE28	UE25	UE27	UE28	Sexo	Nº parados
Julio 2021	17	Central	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	2151
Julio 2021	17	Central	No consta	No consta		No consta	Hombres	3
Julio 2021	17	Central	No consta	No consta	No consta	No consta	Hombres	2
Julio 2021	17	Central	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	21709
Julio 2021	17	Central	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	1747
Julio 2021	17	Central	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	256
Julio 2021	17	Central	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	12
Julio 2021	17	Central	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	3480
Julio 2021	17	Central	No consta	No consta		No consta	Mujeres	1
Julio 2021	17	Central	No consta	No consta	No consta	No consta	Mujeres	1
Julio 2021	18	Ribera Baja del Ebro	Españoles	ESPAÑA	Españoles	Españoles	Hombres	119
Julio 2021	18	Ribera Baja del Ebro	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	3
Julio 2021	18	Ribera Baja del Ebro	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	1
Julio 2021	18	Ribera Baja del Ebro	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	16
Julio 2021	18	Ribera Baja del Ebro	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	188
Julio 2021	18	Ribera Baja del Ebro	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	4
Julio 2021	18	Ribera Baja del Ebro	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3
Julio 2021	18	Ribera Baja del Ebro	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	28
Julio 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Españoles	ESPAÑA	Españoles	Españoles	Hombres	176
Julio 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	32
Julio 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	4
Julio 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	44
Julio 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	No consta	No consta		No consta	Hombres	1
Julio 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	291
Julio 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	39
Julio 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	11
Julio 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	69
Julio 2021	20	Comunidad de Calatayud	Españoles	ESPAÑA	Españoles	Españoles	Hombres	548
Julio 2021	20	Comunidad de Calatayud	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	125
Julio 2021	20	Comunidad de Calatayud	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	4
Julio 2021	20	Comunidad de Calatayud	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	37
Julio 2021	20	Comunidad de Calatayud	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	775
Julio 2021	20	Comunidad de Calatayud	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	197
Julio 2021	20	Comunidad de Calatayud	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	4
Julio 2021	20	Comunidad de Calatayud	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	98
Julio 2021	21	Campo de Cariñena	Españoles	ESPAÑA	Españoles	Españoles	Hombres	95
