Año	Inscripción provincia código	Inscripción provincia nombre	Edad (grandes grupos)	Sexo	Personas	Nivel de estudios Código	Nivel de estudios Nombre
2012	50	Zaragoza	16-64	Mujer	3411,0	4	BUP, Bachiller, LOGSE ó superior
2012	50	Zaragoza	65 y más	Hombre	743,0	0	Sin clasificar
2012	50	Zaragoza	65 y más	Hombre	183,0	2	Inferior a graduado escolar o ESO
2012	50	Zaragoza	65 y más	Hombre	561,0	3	Graduado escolar o ESO
2012	50	Zaragoza	65 y más	Hombre	461,0	4	BUP, Bachiller, LOGSE ó superior
2012	50	Zaragoza	65 y más	Mujer	921,0	0	Sin clasificar
2012	50	Zaragoza	65 y más	Mujer	6,0	1	No sabe leer ni escribir
2012	50	Zaragoza	65 y más	Mujer	266,0	2	Inferior a graduado escolar o ESO
2012	50	Zaragoza	65 y más	Mujer	788,0	3	Graduado escolar o ESO
2012	50	Zaragoza	65 y más	Mujer	445,0	4	BUP, Bachiller, LOGSE ó superior
2013	22	Huesca	0-15	Hombre	351,0	0	Sin clasificar
2013	22	Huesca	0-15	Hombre	7,0	1	No sabe leer ni escribir
