Año	Mes y año	Mes (código)	Mes nombre	AÑO-CNO	Comarca código	Comarca nombre	 CASE  WHEN Ocupación (1 dígito) código = '0' THEN '99' ELSE Ocupación (1 dígito) código END	Ocupación (1 dígito) descripción	Sexo	Número de contratos
2021	Octubre 2021	202110	Octubre	CNO - 2011	09	La Litera / La Llitera	3	Técnicos; profesionales de apoyo	Mujeres	8
2021	Octubre 2021	202110	Octubre	CNO - 2011	09	La Litera / La Llitera	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	8
2021	Octubre 2021	202110	Octubre	CNO - 2011	09	La Litera / La Llitera	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	21
2021	Octubre 2021	202110	Octubre	CNO - 2011	09	La Litera / La Llitera	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	21
2021	Octubre 2021	202110	Octubre	CNO - 2011	09	La Litera / La Llitera	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	75
2021	Octubre 2021	202110	Octubre	CNO - 2011	09	La Litera / La Llitera	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	13
2021	Octubre 2021	202110	Octubre	CNO - 2011	09	La Litera / La Llitera	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	3
2021	Octubre 2021	202110	Octubre	CNO - 2011	09	La Litera / La Llitera	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	176
2021	Octubre 2021	202110	Octubre	CNO - 2011	09	La Litera / La Llitera	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	51
2021	Octubre 2021	202110	Octubre	CNO - 2011	09	La Litera / La Llitera	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	73
2021	Octubre 2021	202110	Octubre	CNO - 2011	09	La Litera / La Llitera	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	5
2021	Octubre 2021	202110	Octubre	CNO - 2011	09	La Litera / La Llitera	9	Ocupaciones elementales	Hombres	93
2021	Octubre 2021	202110	Octubre	CNO - 2011	09	La Litera / La Llitera	9	Ocupaciones elementales	Mujeres	58
2021	Octubre 2021	202110	Octubre	CNO - 2011	10	Los Monegros	1	Directores y gerentes	Mujeres	2
2021	Octubre 2021	202110	Octubre	CNO - 2011	10	Los Monegros	2	Técnicos y profesionales científicos e intelectuales	Hombres	16
2021	Octubre 2021	202110	Octubre	CNO - 2011	10	Los Monegros	2	Técnicos y profesionales científicos e intelectuales	Mujeres	12
2021	Octubre 2021	202110	Octubre	CNO - 2011	10	Los Monegros	3	Técnicos; profesionales de apoyo	Hombres	9
2021	Octubre 2021	202110	Octubre	CNO - 2011	10	Los Monegros	3	Técnicos; profesionales de apoyo	Mujeres	16
2021	Octubre 2021	202110	Octubre	CNO - 2011	10	Los Monegros	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	3
2021	Octubre 2021	202110	Octubre	CNO - 2011	10	Los Monegros	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	11
2021	Octubre 2021	202110	Octubre	CNO - 2011	10	Los Monegros	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	7
2021	Octubre 2021	202110	Octubre	CNO - 2011	10	Los Monegros	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	38
2021	Octubre 2021	202110	Octubre	CNO - 2011	10	Los Monegros	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	15
2021	Octubre 2021	202110	Octubre	CNO - 2011	10	Los Monegros	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	14
2021	Octubre 2021	202110	Octubre	CNO - 2011	10	Los Monegros	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	33
2021	Octubre 2021	202110	Octubre	CNO - 2011	10	Los Monegros	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	1
2021	Octubre 2021	202110	Octubre	CNO - 2011	10	Los Monegros	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	30
2021	Octubre 2021	202110	Octubre	CNO - 2011	10	Los Monegros	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	3
2021	Octubre 2021	202110	Octubre	CNO - 2011	10	Los Monegros	9	Ocupaciones elementales	Hombres	80
2021	Octubre 2021	202110	Octubre	CNO - 2011	10	Los Monegros	9	Ocupaciones elementales	Mujeres	45
2021	Octubre 2021	202110	Octubre	CNO - 2011	11	Bajo Cinca / Baix Cinca	2	Técnicos y profesionales científicos e intelectuales	Hombres	12
2021	Octubre 2021	202110	Octubre	CNO - 2011	11	Bajo Cinca / Baix Cinca	2	Técnicos y profesionales científicos e intelectuales	Mujeres	13
2021	Octubre 2021	202110	Octubre	CNO - 2011	11	Bajo Cinca / Baix Cinca	3	Técnicos; profesionales de apoyo	Hombres	18
2021	Octubre 2021	202110	Octubre	CNO - 2011	11	Bajo Cinca / Baix Cinca	3	Técnicos; profesionales de apoyo	Mujeres	25
2021	Octubre 2021	202110	Octubre	CNO - 2011	11	Bajo Cinca / Baix Cinca	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	4
2021	Octubre 2021	202110	Octubre	CNO - 2011	11	Bajo Cinca / Baix Cinca	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	16
2021	Octubre 2021	202110	Octubre	CNO - 2011	11	Bajo Cinca / Baix Cinca	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	53
2021	Octubre 2021	202110	Octubre	CNO - 2011	11	Bajo Cinca / Baix Cinca	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	87
2021	Octubre 2021	202110	Octubre	CNO - 2011	11	Bajo Cinca / Baix Cinca	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	69
2021	Octubre 2021	202110	Octubre	CNO - 2011	11	Bajo Cinca / Baix Cinca	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	6
2021	Octubre 2021	202110	Octubre	CNO - 2011	11	Bajo Cinca / Baix Cinca	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	30
2021	Octubre 2021	202110	Octubre	CNO - 2011	11	Bajo Cinca / Baix Cinca	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	6
2021	Octubre 2021	202110	Octubre	CNO - 2011	11	Bajo Cinca / Baix Cinca	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	26
2021	Octubre 2021	202110	Octubre	CNO - 2011	11	Bajo Cinca / Baix Cinca	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	9
2021	Octubre 2021	202110	Octubre	CNO - 2011	11	Bajo Cinca / Baix Cinca	9	Ocupaciones elementales	Hombres	471
2021	Octubre 2021	202110	Octubre	CNO - 2011	11	Bajo Cinca / Baix Cinca	9	Ocupaciones elementales	Mujeres	598
2021	Octubre 2021	202110	Octubre	CNO - 2011	12	Tarazona y el Moncayo	1	Directores y gerentes	Mujeres	1
2021	Octubre 2021	202110	Octubre	CNO - 2011	12	Tarazona y el Moncayo	2	Técnicos y profesionales científicos e intelectuales	Hombres	9
2021	Octubre 2021	202110	Octubre	CNO - 2011	12	Tarazona y el Moncayo	2	Técnicos y profesionales científicos e intelectuales	Mujeres	9
2021	Octubre 2021	202110	Octubre	CNO - 2011	12	Tarazona y el Moncayo	3	Técnicos; profesionales de apoyo	Hombres	4
2021	Octubre 2021	202110	Octubre	CNO - 2011	12	Tarazona y el Moncayo	3	Técnicos; profesionales de apoyo	Mujeres	1
2021	Octubre 2021	202110	Octubre	CNO - 2011	12	Tarazona y el Moncayo	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	2
2021	Octubre 2021	202110	Octubre	CNO - 2011	12	Tarazona y el Moncayo	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	3
