Año	Sexo	Edad	Residencia CCAA código	Residencia CCAA nombre	Personas	Porcentaje
2010	Mujeres	87	02	Aragón	3769	0,0157468846842139632711121791937820653721
2011	Hombres	87	02	Aragón	-2151	-0,0089868795319034850082680545093725716676
2011	Mujeres	87	02	Aragón	3848	0,0160769467404763413815971519070505140758
2012	Hombres	87	02	Aragón	-4354	-0,018191015100840434089260394855326907039
2012	Mujeres	87	02	Aragón	7738	0,0323293695108643268219331500667247603739
2013	Hombres	87	02	Aragón	-2259	-0,0094381036088191411593108020161193116677
2013	Mujeres	87	02	Aragón	3707	0,0154878486400586791844024537732422701869
2014	Hombres	87	02	Aragón	-2241	-0,009362899595999865134137010764994855001
2014	Mujeres	87	02	Aragón	3973	0,0165991968294990915564151467065259075944
2015	Hombres	87	02	Aragón	-2377	-0,0099311076928566173243389891068240831492
2015	Mujeres	87	02	Aragón	3927	0,0164070087967387194920821246203189627796
1998	Hombres	86	02	Aragón	-1391	-0,0058115989906451639453746461285621790747
1998	Mujeres	86	02	Aragón	2595	0,0108419118481122936292215720371091694456
1999	Hombres	86	02	Aragón	-1552	-0,0064842571053064661705402234302864859266
1999	Mujeres	86	02	Aragón	2876	0,0120159300482354360222124243463298540754
2000	Hombres	86	02	Aragón	-1491	-0,0062293990618633640852290419681424938896
2000	Mujeres	86	02	Aragón	2880	0,012032642051084164027806600179913066668
2001	Hombres	86	02	Aragón	-1588	-0,00663466513094501822088780593253539926
2001	Mujeres	86	02	Aragón	3054	0,0127596141750038322711532489407828144458
2002	Hombres	86	02	Aragón	-1583	-0,0066137751273841082138950861405563835192
2002	Mujeres	86	02	Aragón	2950	0,0123251021009369041257046772676192870384
2003	Hombres	86	02	Aragón	-1461	-0,0061040590404979040432727232162683994451
2003	Mujeres	86	02	Aragón	2870	0,0119908620439623440138211605959550351865
2004	Hombres	86	02	Aragón	-1545	-0,0064550111003211921607504157215158638896
2004	Mujeres	86	02	Aragón	2948	0,0123167460995125401229075893508276807421
2005	Hombres	86	02	Aragón	-1591	-0,0066471991330815642250834378077228087044
2005	Mujeres	86	02	Aragón	3234	0,0135116543031965925228911614520273811126
2006	Hombres	86	02	Aragón	-1681	-0,0070232191971779443509523940633450920378
2006	Mujeres	86	02	Aragón	3157	0,0131899482483585784152032766555505387051
2007	Hombres	86	02	Aragón	-2067	-0,0086359274720801968907903620041251072232
