Año	Municipio código	Municipio nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Cuota (euros)
2001	22107	Fanlo	140,0	642,9	642,9	5460,0
2001	22109	Fiscal	430,0	5593,45	5593,45	39150,0
2001	22110	Fonz	944,0	8422,4	8422,4	52220,0
2001	22111	Foradada del Toscar	188,0	1747,93	1747,93	6990,0
2001	22112	Fraga	7847,0	203091,0	172500,0	1362751,85
2001	22113	Fueva (La)	490,0	21431,9	21431,9	139310,0
2001	22114	Gistaín	125,0	830,41	830,41	4150,0
2001	22115	Grado (El)	839,0	20763,53	20763,53	116270,0
2001	22116	Grañén	1423,0	21606,86	21606,86	121000,0
2001	22117	Graus	3088,0	45948,0	45948,0	330829,5
2001	22119	Gurrea de Gállego	1287,0	17677,76	17677,76	114900,0
2001	22122	Hoz de Jaca	177,0	4225,59	4225,59	16902,0
2001	22124	Huerto	421,0	4132,26	4132,26	16530,0
2001	22125	Huesca	39751,0	1244962,32	717394,7	6241335,0
2001	22126	Ibieca	137,0	948,22	948,22	4740,0
2001	22127	Igriés	224,0	3836,3	3836,3	23020,0
2001	22128	Ilche	261,0	1760,44	1760,44	7040,0
2001	22129	Isábena	450,0	4355,63	4355,63	17420,0
2001	22130	Jaca	22445,0	472544,0	472544,0	3307810,0
2001	22131	Jasa	179,0	1237,78	1237,78	7430,0
2001	22133	Labuerda	198,0	2961,94	2961,94	14810,0
2001	22135	Laluenga	236,0	2520,31	2520,31	12600,0
2001	22136	Lalueza	784,0	10262,28	10262,28	85170,0
2001	22137	Lanaja	1210,0	13723,97	13723,97	89210,0
2001	22139	Laperdiguera	106,0	684,19	684,19	2730,0
2001	22141	Lascellas-Ponzano	252,0	1814,9	1814,9	10890,0
2001	22142	Lascuarre	167,0	1209,25	1209,25	9680,0
2001	22143	Laspaúles	313,0	2356,47	2356,47	7070,0
2001	22144	Laspuña	177,0	2155,46	2155,46	12930,0
2001	22149	Loarre	649,0	4677,82	4677,82	18710,0
2001	22150	Loporzano	712,0	6755,93	6755,93	40530,0
2001	22151	Loscorrales	232,0	950,4	950,4	3801,8
2001	22155	Monesma y Cajigar	60,0	343,05	343,05	2400,0
2001	22156	Monflorite-Lascasas	328,0	3663,62	3663,62	18320,0
2001	22157	Montanuy	337,0	63972,23	63972,23	543760,0
2001	22158	Monzón	10814,0	199349,34	175592,76	1510097,8
2001	22160	Naval	247,0	8824,0	8824,0	75010,0
2001	22162	Novales	137,0	1495,22	1495,22	5980,0
2001	22163	Nueno	534,0	8575,9	8575,9	55750,0
2001	22164	Olvena	127,0	639,9	639,9	2560,0
2001	22165	Ontiñena	549,0	4749,7	4749,7	16620,0
2001	22167	Osso de Cinca	415,0	4965,01	4965,01	24830,0
2001	22168	Palo	50,0	1067,85	1067,85	6410,0
2001	22170	Panticosa	2060,0	40079,38	40079,38	172340,0
2001	22172	Peñalba	499,0	20194,86	20194,86	90880,0
2001	22173	Peñas de Riglos (Las)	725,0	5930,69	5930,69	38550,0
2001	22174	Peralta de Alcofea	676,0	5981,79	5981,79	44860,0
2001	22175	Peralta de Calasanz	731,0	5304,14	5304,14	21210,0
2001	22176	Peraltilla	155,0	1389,69	1389,69	7640,0
2001	22177	Perarrúa	268,0	2141,45	2141,45	8560,0
2001	22178	Pertusa	241,0	2307,93	2307,93	18000,0
2001	22181	Piracés	79,0	526,39	526,39	2900,0
2001	22182	Plan	348,0	4999,45	4999,45	29990,0
2001	22184	Poleñino	202,0	2254,45	2254,45	16230,0
2001	22186	Pozán de Vero	208,0	1439,68	1439,68	10080,0
2001	22187	Puebla de Castro (La)	700,0	11624,36	11624,36	48820,0
2001	22188	Puente de Montañana	230,0	1350,05	1350,05	7560,0
2001	22189	Puértolas	187,0	1531,63	1531,63	6120,0
2001	22190	Pueyo de Araguás (El)	101,0	744,74	744,74	3730,0
2001	22193	Pueyo de Santa Cruz	239,0	2381,19	2381,19	16670,0
2001	22195	Quicena	137,0	1711,15	1711,15	6840,0
2001	22197	Robres	661,0	9731,69	9731,69	58390,0
2001	22199	Sabiñánigo	7733,0	140124,25	115320,57	1060949,52
2001	22200	Sahún	720,0	15143,47	15143,47	90860,0
2001	22201	Salas Altas	282,0	2197,46	2197,46	13190,0
2001	22202	Salas Bajas	148,0	1385,22	1385,22	4160,0
2001	22203	Salillas	179,0	1296,38	1296,38	5190,0
2001	22204	Sallent de Gállego	3500,0	72900,0	72900,0	330690,0
2001	22205	San Esteban de Litera	829,0	6346,23	6346,23	44420,0
2001	22206	Sangarrén	276,0	3724,03	3724,03	31650,0
2001	22207	San Juan de Plan	106,0	815,69	815,69	4080,0
2001	22208	Santa Cilia	207,0	1636,29	1636,29	7360,0
2001	22209	Santa Cruz de la Serós	195,0	2047,13	2047,13	10230,0
2001	22212	Santaliestra y San Quílez	106,0	911,78	911,78	5110,0
2001	22213	Sariñena	3681,0	48826,0	48826,0	244133,0
2001	22214	Secastilla	220,0	19447,23	19447,23	116680,0
2001	22215	Seira	201,0	3745,15	3745,15	24340,0
2001	22217	Sena	598,0	8194,52	4711,38	28268,0
2001	22218	Senés de Alcubierre	88,0	816,15	816,15	4740,0
2001	22220	Sesa	233,0	2623,74	2623,74	10490,0
2001	22221	Sesué	170,0	1985,0	1985,0	11910,0
2001	22222	Siétamo	615,0	5975,04	5975,04	29870,0
2001	22223	Sopeira	202,0	8406,84	8406,84	71460,0
2001	22225	Tamarite de Litera	3172,0	47196,72	47196,72	339810,0
2001	22226	Tardienta	935,0	12441,99	12441,99	89580,0
2001	22227	Tella-Sin	267,0	3234,16	3234,16	19410,0
2001	22228	Tierz	132,0	1413,08	1413,08	4240,0
2001	22229	Tolva	234,0	1488,06	1488,06	8930,0
2001	22230	Torla-Ordesa	475,0	8851,94	8851,94	35410,0
2001	22232	Torralba de Aragón	184,0	1242,0	1242,0	7457,0
2001	22233	Torre la Ribera	94,0	851,32	851,32	3410,0
2001	22234	Torrente de Cinca	679,0	22514,68	22514,68	101320,0
2001	22235	Torres de Alcanadre	140,0	1102,58	1102,58	6060,0
2001	22236	Torres de Barbués	251,0	3242,89	3242,89	18160,0
2001	22239	Tramaced	98,0	1193,19	1193,19	4770,0
2001	22242	Valfarta	101,0	888,12	888,12	3820,0
2001	22243	Valle de Bardají	39,0	292,55	292,55	1750,0
2001	22244	Valle de Lierp	55,0	465,79	465,79	2790,0
2001	22245	Velilla de Cinca	428,0	3901,98	3901,98	15610,0
2001	22246	Beranuy	142,0	1025,57	1025,57	4100,0
2001	22247	Viacamp y Litera	50,0	18948,16	18948,16	161060,0
