Año	Municipio código	Municipio nombre	Rústica   Número de recibos	Rústica   Base imponible (miles de euros)	Rústica   Base liquidable (miles de euros)	Rústica   Cuota íntegra (euros)	Rústica   Cuota líquida (euros)
2003	44160	Mosqueruela		7223,0	1408,0	8453,0	8453,0
2003	44161	Muniesa		2888,0	2888,0	23108,0	23108,0
2003	44163	Noguera de Albarracín		1393,0	385,0	1157,0	1157,0
2003	44164	Nogueras		277,0	259,0	1556,0	1556,0
2003	44165	Nogueruelas		2673,0	980,0	2941,0	2941,0
2003	44167	Obón		1361,0	1360,0	10886,0	10886,0
2003	44168	Odón		1431,0	1428,0	11426,0	11426,0
2003	44169	Ojos Negros		1412,0	1407,0	8448,0	8448,0
2003	44171	Olba		375,0	357,0	2147,0	2147,0
2003	44172	Oliete		1828,0	1776,0	11544,0	11544,0
2003	44173	Olmos (Los)		896,0	827,0	4963,0	4963,0
2003	44174	Orihuela del Tremedal		2443,0	346,0	2254,0	2254,0
2003	44175	Orrios		670,0	670,0	3620,0	3620,0
2003	44176	Palomar de Arroyos		578,0	563,0	2817,0	2817,0
2003	44177	Pancrudo		1962,0	1831,0	8243,0	8243,0
2003	44178	Parras de Castellote (Las)		465,0	389,0	1752,0	1752,0
2003	44179	Peñarroya de Tastavins		1060,0	578,0	2313,0	2313,0
2003	44180	Peracense		359,0	352,0	2289,0	2289,0
2003	44181	Peralejos		447,0	405,0	2430,0	2430,0
2003	44182	Perales del Alfambra		1958,0	1936,0	9681,0	9681,0
2003	44183	Pitarque		548,0	425,0	1278,0	1278,0
2003	44184	Plou		320,0	319,0	2078,0	2078,0
2003	44185	Pobo (El)		1017,0	926,0	6025,0	6025,0
2003	44187	Portellada (La)		455,0	363,0	1092,0	1092,0
2003	44189	Pozondón		584,0	584,0	1753,0	1753,0
2003	44190	Pozuel del Campo		773,0	740,0	2223,0	2223,0
2003	44191	Puebla de Híjar (La)		3089,0	3083,0	23435,0	23435,0
2003	44192	Puebla de Valverde (La)		3041,0	2988,0	26892,0	26892,0
2003	44193	Puertomingalvo		993,0	523,0	3142,0	3142,0
2003	44194	Ráfales		678,0	330,0	993,0	993,0
2003	44195	Rillo		724,0	700,0	3430,0	3430,0
2003	44196	Riodeva		356,0	342,0	1369,0	1369,0
2003	44197	Ródenas		513,0	512,0	1537,0	1537,0
2003	44198	Royuela		423,0	420,0	2733,0	2733,0
2003	44199	Rubiales		316,0	131,0	394,0	394,0
2003	44200	Rubielos de la Cérida		677,0	676,0	2706,0	2706,0
2003	44201	Rubielos de Mora		1166,0	797,0	4783,0	4783,0
2003	44203	Salcedillo		312,0	204,0	1635,0	1635,0
2003	44204	Saldón		265,0	262,0	788,0	788,0
2003	44205	Samper de Calanda		5001,0	4962,0	27295,0	27295,0
2003	44206	San Agustín		1113,0	1112,0	7233,0	7233,0
2003	44207	San Martín del Río		767,0	758,0	4932,0	4932,0
2003	44208	Santa Cruz de Nogueras		242,0	242,0	1211,0	1211,0
2003	44209	Santa Eulalia		3600,0	3599,0	14398,0	14398,0
2003	44210	Sarrión		1011,0	1000,0	6506,0	6506,0
2003	44211	Segura de los Baños		730,0	729,0	2919,0	2919,0
2003	44212	Seno		222,0	222,0	1111,0	1111,0
2003	44213	Singra		1818,0	1818,0	11819,0	11819,0
2003	44215	Terriente		549,0	522,0	1569,0	1569,0
2003	44216	Teruel		11366,0	11094,0	53693,0	53693,0
2003	44217	Toril y Masegoso		509,0	169,0	509,0	509,0
2003	44218	Tormón		525,0	80,0	242,0	242,0
2003	44219	Tornos		1053,0	1021,0	5107,0	5107,0
2003	44220	Torralba de los Sisones		1389,0	1374,0	5497,0	5497,0
2003	44221	Torrecilla de Alcañiz		536,0	528,0	2114,0	2114,0
2003	44222	Torrecilla del Rebollar		1503,0	1442,0	5772,0	5772,0
2003	44223	Torre de Arcas		485,0	233,0	1869,0	1869,0
2003	44224	Torre de las Arcas		407,0	383,0	1995,0	1995,0
2003	44225	Torre del Compte		703,0	647,0	3238,0	3238,0
2003	44226	Torrelacárcel		1379,0	1377,0	11022,0	11022,0
2003	44227	Torre los Negros		734,0	711,0	3559,0	3559,0
2003	44228	Torremocha de Jiloca		875,0	874,0	6996,0	6996,0
2003	44229	Torres de Albarracín		317,0	300,0	900,0	900,0
2003	44230	Torrevelilla		311,0	286,0	1863,0	1863,0
2003	44231	Torrijas		667,0	422,0	2534,0	2534,0
2003	44232	Torrijo del Campo		1768,0	1750,0	8752,0	8752,0
2003	44234	Tramacastiel		550,0	455,0	2964,0	2964,0
2003	44235	Tramacastilla		490,0	310,0	932,0	932,0
2003	44236	Tronchón		931,0	916,0	3209,0	3209,0
2003	44237	Urrea de Gaén		1730,0	1714,0	7716,0	7716,0
2003	44238	Utrillas		442,0	440,0	2863,0	2863,0
2003	44239	Valacloche		164,0	142,0	855,0	855,0
2003	44240	Valbona		673,0	604,0	3626,0	3626,0
