Año	Renta disponible bruta	Código	Comarca
2000	8157234918,0	17	D.C. Zaragoza
2000	74364543,0	18	Ribera Baja del Ebro
2000	101589936,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2000	324129468,0	20	Comunidad de Calatayud
2000	69687120,0	21	Campo de Cariñena
2000	31299360,0	22	Campo de Belchite
2000	51363951,0	23	Bajo Martín
2000	50420130,0	24	Campo de Daroca
2000	94883277,0	25	Jiloca
2000	81455624,0	26	Cuencas Mineras
2000	114202093,0	27	Andorra-Sierra de Arcos
2000	242519425,0	28	Bajo Aragón
2000	450679425,0	29	Comunidad de Teruel
2000	24924513,0	30	Maestrazgo
2000	29727883,0	31	Sierra de Albarracín
2000	53740600,0	32	Gúdar-Javalambre
2000	52403205,0	33	Matarraña / Matarranya
