Mes (código)	Mes y año	Municipio nombre	Municipio código	Sexo	Nacionalidad	Afiliaciones en alta
201209	Septiembre 2012	Tarazona	50251	Hombres	Extranjeros comunitarios (UE-27)	14
201209	Septiembre 2012	Tarazona	50251	Mujeres	Extranjeros comunitarios (UE-27)	6
201209	Septiembre 2012	Tardienta	22226	Hombres	Españoles	174
201209	Septiembre 2012	Tardienta	22226	Mujeres	Españoles	67
201209	Septiembre 2012	Tardienta	22226	Hombres	Extranjeros comunitarios (UE-27)	5
201209	Septiembre 2012	Tardienta	22226	Mujeres	Extranjeros comunitarios (UE-27)	2
201209	Septiembre 2012	Tardienta	22226	Hombres	Extranjeros no comunitarios	8
201209	Septiembre 2012	Tardienta	22226	Mujeres	Extranjeros no comunitarios	8
201209	Septiembre 2012	Tardienta	22226	Hombres	Extranjeros comunitarios (UE-27)	3
201209	Septiembre 2012	Tauste	50252	Hombres	Españoles	1517
201209	Septiembre 2012	Tauste	50252	Mujeres	Españoles	987
201209	Septiembre 2012	Tauste	50252	Hombres	Extranjeros comunitarios (UE-27)	178
201209	Septiembre 2012	Tauste	50252	Mujeres	Extranjeros comunitarios (UE-27)	71
201209	Septiembre 2012	Tauste	50252	Hombres	Extranjeros no comunitarios	140
201209	Septiembre 2012	Tauste	50252	Mujeres	Extranjeros no comunitarios	27
201209	Septiembre 2012	Tauste	50252	Hombres	Extranjeros comunitarios (UE-27)	16
201209	Septiembre 2012	Tauste	50252	Mujeres	Extranjeros comunitarios (UE-27)	7
201209	Septiembre 2012	Tella-Sin	22227	Hombres	Españoles	20
201209	Septiembre 2012	Tella-Sin	22227	Mujeres	Españoles	13
201209	Septiembre 2012	Tella-Sin	22227	Mujeres	Extranjeros comunitarios (UE-27)	3
201209	Septiembre 2012	Tella-Sin	22227	Hombres	Extranjeros no comunitarios	1
201209	Septiembre 2012	Tella-Sin	22227	Mujeres	Extranjeros no comunitarios	2
201209	Septiembre 2012	Tella-Sin	22227	Mujeres	Extranjeros comunitarios (UE-27)	1
201209	Septiembre 2012	Terrer	50253	Hombres	Españoles	54
201209	Septiembre 2012	Terrer	50253	Mujeres	Españoles	36
201209	Septiembre 2012	Terrer	50253	Hombres	Extranjeros comunitarios (UE-27)	3
201209	Septiembre 2012	Terrer	50253	Mujeres	Extranjeros comunitarios (UE-27)	1
201209	Septiembre 2012	Terriente	44215	Hombres	Españoles	18
201209	Septiembre 2012	Terriente	44215	Mujeres	Españoles	10
201209	Septiembre 2012	Terriente	44215	Hombres	Extranjeros comunitarios (UE-27)	2
201209	Septiembre 2012	Terriente	44215	Hombres	Extranjeros no comunitarios	2
201209	Septiembre 2012	Terriente	44215	Mujeres	Extranjeros no comunitarios	1
201209	Septiembre 2012	Terriente	44215	Hombres	Extranjeros comunitarios (UE-27)	1
201209	Septiembre 2012	Teruel	44216	Hombres	Españoles	8787
201209	Septiembre 2012	Teruel	44216	Mujeres	Españoles	8668
201209	Septiembre 2012	Teruel	44216	Hombres	Extranjeros comunitarios (UE-27)	360
201209	Septiembre 2012	Teruel	44216	Mujeres	Extranjeros comunitarios (UE-27)	353
201209	Septiembre 2012	Teruel	44216	Hombres	Extranjeros no comunitarios	517
201209	Septiembre 2012	Teruel	44216	Mujeres	Extranjeros no comunitarios	426
201209	Septiembre 2012	Teruel	44216	Hombres	Extranjeros comunitarios (UE-27)	76
