Comarca código	Comarca nombre	Superficie (km2)	Población	Densidad de población (hab/km2)	Año
19	Bajo Aragón-Caspe / Baix Aragó-Casp	997,28	15039,0	15,0800176480026	2012
19	Bajo Aragón-Caspe / Baix Aragó-Casp	997,28	15077,0	15,1181212899085	2011
19	Bajo Aragón-Caspe / Baix Aragó-Casp	997,28	15016,0	15,0569549173753	2010
19	Bajo Aragón-Caspe / Baix Aragó-Casp	997,28	14775,0	14,8152976094978	2009
19	Bajo Aragón-Caspe / Baix Aragó-Casp	997,28	13940,0	13,9780202149847	2008
19	Bajo Aragón-Caspe / Baix Aragó-Casp	997,28	13575,0	13,6120247072036	2007
19	Bajo Aragón-Caspe / Baix Aragó-Casp	997,28	13606,0	13,6431092571795	2006
19	Bajo Aragón-Caspe / Baix Aragó-Casp	997,28	13241,0	13,2771137493984	2005
19	Bajo Aragón-Caspe / Baix Aragó-Casp	997,28	12895,0	12,9301700625702	2004
19	Bajo Aragón-Caspe / Baix Aragó-Casp	997,28	12658,0	12,6925236643671	2003
19	Bajo Aragón-Caspe / Baix Aragó-Casp	997,28	12604,0	12,6383763837638	2002
