Municipio código	Municipio nombre	Año	Sistema de cultivo	Total (A+B+C+D)	(A) TIERRAS DE CULTIVO. Total	Tierras ocupadas por cultivos herbáceos	Barbechos y otras tierras agrícolas no ocupadas	Tierras ocupadas por cultivos leñosos	(B) PRADERAS Y PASTIZALES. Total	Prados naturales	Pastizales	Eriales	(C) TERRENOS FORESTALES. Total	Monte maderable	Monte abierto	Monte leñoso	(D) OTRAS SUPERFICIES. Total	Espartizal	Terrenos improductivos	Superficies no agrícolas	Ríos y Lagos
22069	Broto	2017	Secano	12640,0	24,0	23,0	1,0	0,0	446,0	446,0	0,0	0,0	11729,0	7759,0	941,0	3029,0	441,0	0,0	32,0	100,0	309,0
22072	Caldearenas	2017	Regadío	43,0	43,0	17,0	26,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22072	Caldearenas	2017	Secano	19287,0	1466,0	955,0	509,0	2,0	44,0	44,0	0,0	0,0	17093,0	13029,0	1357,0	2707,0	684,0	0,0	83,0	285,0	316,0
22074	Campo	2017	Regadío	31,0	31,0	20,0	11,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22074	Campo	2017	Secano	2296,0	156,0	136,0	20,0	0,0	56,0	56,0	0,0	0,0	1920,0	1388,0	67,0	465,0	164,0	0,0	45,0	66,0	53,0
22075	Camporrells	2017	Regadío	138,0	138,0	93,0	45,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22075	Camporrells	2017	Secano	2552,0	557,0	360,0	166,0	31,0	186,0	0,0	10,0	176,0	1743,0	1013,0	675,0	55,0	66,0	0,0	12,0	41,0	13,0
22076	Canal de Berdún	2017	Regadío	163,0	163,0	146,0	16,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22076	Canal de Berdún	2017	Secano	13186,0	4094,0	3641,0	344,0	109,0	86,0	86,0	0,0	0,0	8081,0	3299,0	906,0	3876,0	925,0	0,0	88,0	257,0	580,0
22077	Candasnos	2017	Regadío	5836,0	5836,0	4761,0	738,0	337,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
