Año	Población	Comarca código	Comarca nombre
2012	15039,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2012	40899,0	20	Comunidad de Calatayud
2012	11059,0	21	Campo de Cariñena
2012	5188,0	22	Campo de Belchite
2012	6942,0	23	Bajo Martín
2012	6219,0	24	Campo de Daroca
2012	13697,0	25	Jiloca
2012	8894,0	26	Cuencas Mineras
2012	11299,0	27	Andorra-Sierra de Arcos
2012	30080,0	28	Bajo Aragón
2012	47223,0	29	Comunidad de Teruel
2012	3602,0	30	Maestrazgo
2012	4930,0	31	Sierra de Albarracín
2012	8328,0	32	Gúdar-Javalambre
2012	8733,0	33	Matarraña / Matarranya
2013	18421,0	01	La Jacetania
2013	14447,0	02	Alto Gállego
2013	7721,0	03	Sobrarbe
2013	12942,0	04	La Ribagorza
2013	32074,0	05	Cinco Villas
2013	68280,0	06	Hoya de Huesca / Plana de Uesca
2013	24111,0	07	Somontano de Barbastro
2013	24216,0	08	Cinca Medio
2013	18814,0	09	La Litera / La Llitera
2013	20172,0	10	Los Monegros
2013	24800,0	11	Bajo Cinca / Baix Cinca
2013	14471,0	12	Tarazona y el Moncayo
2013	14971,0	13	Campo de Borja
2013	7268,0	14	Aranda
2013	27765,0	15	Ribera Alta del Ebro
2013	29529,0	16	Valdejalón
2013	758380,0	17	D.C. Zaragoza
2013	9223,0	18	Ribera Baja del Ebro
2013	15008,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2013	40333,0	20	Comunidad de Calatayud
2013	10802,0	21	Campo de Cariñena
2013	5093,0	22	Campo de Belchite
2013	6768,0	23	Bajo Martín
2013	6126,0	24	Campo de Daroca
2013	13435,0	25	Jiloca
2013	8835,0	26	Cuencas Mineras
2013	11113,0	27	Andorra-Sierra de Arcos
2013	29875,0	28	Bajo Aragón
2013	47185,0	29	Comunidad de Teruel
2013	3464,0	30	Maestrazgo
2013	4783,0	31	Sierra de Albarracín
2013	8095,0	32	Gúdar-Javalambre
2013	8630,0	33	Matarraña / Matarranya
2014	18235,0	01	La Jacetania
2014	14139,0	02	Alto Gállego
2014	7633,0	03	Sobrarbe
2014	12624,0	04	La Ribagorza
2014	31442,0	05	Cinco Villas
2014	68286,0	06	Hoya de Huesca / Plana de Uesca
