Año	Nº Accidentes	Grupo	Descripción Ocupación	Sexo	Comarca Código	Comarca Nombre
2015,0	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	06	Hoya de Huesca / Plana de Uesca
2015,0	5	2	Técnicos y profesionales científicos e intelectuales	Mujeres	06	Hoya de Huesca / Plana de Uesca
2015,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	07	Somontano de Barbastro
2015,0	4	2	Técnicos y profesionales científicos e intelectuales	Mujeres	07	Somontano de Barbastro
2015,0	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	08	Cinca Medio
2015,0	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	09	La Litera / La Llitera
2015,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	11	Bajo Cinca / Baix Cinca
2015,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	11	Bajo Cinca / Baix Cinca
2015,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	12	Tarazona y el Moncayo
2015,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	14	Aranda
2015,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	15	Ribera Alta del Ebro
2015,0	4	2	Técnicos y profesionales científicos e intelectuales	Mujeres	15	Ribera Alta del Ebro
2015,0	33	2	Técnicos y profesionales científicos e intelectuales	Hombres	17	D.C. Zaragoza
2015,0	96	2	Técnicos y profesionales científicos e intelectuales	Mujeres	17	D.C. Zaragoza
2015,0	3	2	Técnicos y profesionales científicos e intelectuales	Mujeres	20	Comunidad de Calatayud
2015,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	28	Bajo Aragón
2015,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	28	Bajo Aragón
2015,0	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	29	Comunidad de Teruel
2015,0	3	2	Técnicos y profesionales científicos e intelectuales	Mujeres	29	Comunidad de Teruel
2015,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	33	Matarraña / Matarranya
2015,0	1	3	Técnicos; profesionales de apoyo	Hombres	02	Alto Gállego
2015,0	1	3	Técnicos; profesionales de apoyo	Mujeres	03	Sobrarbe
2015,0	1	3	Técnicos; profesionales de apoyo	Mujeres	05	Cinco Villas
