Año	Municipio código	Municipio nombre	Total ingresos	Impuestos directos	Impuestos indirectos	Tasas y otros ingresos	Transferencias corrientes	Ingresos patrimoniales	Enajenación inversiones reales	Transferencias de capital	Activos financieros	Pasivos financieros	Tipo de presupuesto	Estado de la información
2004	22203	Salillas											Presupuestos	Sin información
2004	22204	Sallent de Gállego	2247182,47	696200,0	151198,0	411164,88	356778,38	418050,61	0,0	213790,6	0,0	0,0	Presupuestos	Consolidada
2004	22205	San Esteban de Litera	647000,0	159100,0	41053,53	111755,0	76900,08	4500,0	0,0	253691,39	0,0	0,0	Presupuestos	Consolidada
2004	22206	Sangarrén	375000,0	68790,0	5000,0	29200,0	61050,0	31200,0	0,0	172760,0	0,0	7000,0	Presupuestos	Consolidada
2004	22207	San Juan de Plan	160145,16	11162,87	4278,12	9362,53	92865,04	6052,86	0,0	36423,74	0,0	0,0	Presupuestos	Consolidada
2004	22208	Santa Cilia											Presupuestos	Sin información
2004	22209	Santa Cruz de la Serós											Presupuestos	Sin información
2004	22212	Santaliestra y San Quílez	65513,89	8131,0	0,0	242,0	26935,89	205,0	0,0	30000,0	0,0	0,0	Presupuestos	Consolidada
2004	22213	Sariñena	3336497,94	879786,71	133745,06	933784,69	1035534,37	60615,11	69346,0	223686,0	0,0	0,0	Presupuestos	Consolidada
2004	22214	Secastilla											Presupuestos	Sin información
2004	22215	Seira	744680,0	99569,0	40000,0	9629,0	150357,0	5931,0	0,0	439194,0	0,0	0,0	Presupuestos	Consolidada
2004	22217	Sena	298580,0	119000,0	6000,0	47600,0	97300,0	1780,0	0,0	26900,0	0,0	0,0	Presupuestos	Consolidada
2004	22218	Senés de Alcubierre	136771,0	11615,0	0,0	5915,0	30469,0	8772,0	0,0	22700,0	0,0	57300,0	Presupuestos	Consolidada
2004	22220	Sesa											Presupuestos	Sin información
2004	22221	Sesué	552100,0	45500,0	25000,0	67475,0	39200,0	4300,0	0,0	310525,0	0,0	60100,0	Presupuestos	Consolidada
2004	22222	Siétamo	507807,94	71095,37	10000,0	48836,3	182313,86	5303,0	0,0	190259,41	0,0	0,0	Presupuestos	Consolidada
2004	22223	Sopeira	542000,0	208200,0	0,0	6900,0	52300,0	6600,0	0,0	150000,0	118000,0	0,0	Presupuestos	Consolidada
2004	22225	Tamarite de Litera	3981863,35	812000,0	80001,0	357542,56	750824,56	10801,0	171000,0	1228222,0	0,0	571472,23	Presupuestos	Consolidada
2004	22226	Tardienta	1190807,0	283302,0	15700,0	80185,0	250604,0	267133,0	140118,0	153765,0	0,0	0,0	Presupuestos	Consolidada
2004	22227	Tella-Sin											Presupuestos	Sin información
2004	22228	Tierz	243479,93	24064,36	65750,0	32264,87	45400,7	8000,0	0,0	43000,0	0,0	25000,0	Presupuestos	Consolidada
2004	22229	Tolva											Presupuestos	Sin información
2004	22230	Torla-Ordesa	1017563,0	36530,0	0,0	44821,0	78907,0	70205,0	0,0	787100,0	0,0	0,0	Presupuestos	Consolidada
2004	22232	Torralba de Aragón	329300,0	46643,0	0,0	64777,0	33150,0	2700,0	0,0	142080,0	0,0	39950,0	Presupuestos	Consolidada
2004	22233	Torre la Ribera	1152514,39	11700,0	13111,11	69870,48	61563,44	1817,59	0,0	964451,77	0,0	30000,0	Presupuestos	Consolidada
2004	22234	Torrente de Cinca	614701,53	179683,8	0,0	56366,77	224961,77	28433,34	18000,0	107055,85	100,0	100,0	Presupuestos	Consolidada
2004	22235	Torres de Alcanadre	162568,01	23858,23	1531,9	12809,39	39392,07	1325,99	0,0	76639,8	0,0	7010,63	Presupuestos	Consolidada
2004	22236	Torres de Barbués	224731,97	44273,38	0,0	18532,41	68625,25	5300,93	9069,4	78924,59	0,0	6,01	Presupuestos	Consolidada
2004	22239	Tramaced	254858,89	25244,41	0,0	11847,99	32816,11	479,9	0,0	141503,25	0,0	42967,23	Presupuestos	Consolidada
2004	22242	Valfarta	159123,5	19550,25	0,0	19185,33	28750,36	15168,61	0,0	76468,95	0,0	0,0	Presupuestos	Consolidada
2004	22243	Valle de Bardají											Presupuestos	Sin información
2004	22244	Valle de Lierp											Presupuestos	Sin información
2004	22245	Velilla de Cinca	274909,89	71896,92	0,0	64861,51	97897,32	6700,14	0,0	33554,0	0,0	0,0	Presupuestos	Consolidada
2004	22246	Beranuy	1148815,0	11017,79	4332,08	1560,0	30465,36	1236,5	0,0	1100203,27	0,0	0,0	Presupuestos	Consolidada
2004	22247	Viacamp y Litera											Presupuestos	Sin información
2004	22248	Vicién	190285,34	19653,2	0,0	7513,37	29389,66	12955,86	0,0	120773,25	0,0	0,0	Presupuestos	Consolidada
2004	22249	Villanova	168000,0	42900,0	9000,0	16800,0	45400,0	6800,0	0,0	47100,0	0,0	0,0	Presupuestos	Consolidada
2004	22250	Villanúa											Presupuestos	Sin información
2004	22251	Villanueva de Sigena	492250,0	108000,0	36000,0	28100,0	91100,0	25950,0	0,0	163100,0	0,0	40000,0	Presupuestos	Consolidada
2004	22252	Yebra de Basa	388230,0	18871,0	80,0	11438,0	49881,0	9000,0	0,0	298960,0	0,0	0,0	Presupuestos	Consolidada
2004	22253	Yésero	454007,0	2900,0	0,0	4019,0	30633,0	30399,0	0,0	386056,0	0,0	0,0	Presupuestos	Consolidada
2004	22254	Zaidín	1382580,68	249144,93	120000,0	151230,71	313708,92	19524,1	0,0	228972,02	0,0	300000,0	Presupuestos	Consolidada
2004	22901	Valle de Hecho	862900,0	91200,0	28000,0	71539,0	420561,0	160650,0	0,0	60950,0	0,0	30000,0	Presupuestos	Consolidada
2004	22902	Puente la Reina de Jaca											Presupuestos	Sin información
2004	22903	San Miguel del Cinca	1032361,0	158000,0	0,0	94151,0	123600,0	12700,0	0,0	643910,0	0,0	0,0	Presupuestos	Consolidada
