Año	Municipio código	Municipio nombre	Tipo de presupuesto	Estado de la información	Total gastos	Gastos de personal	Gastos en bienes corrientes y servicios	Gastos financieros	Transferencias corrientes	Inversiones reales	Transferencias de capital	Activos financieros	Pasivos financieros	Gastos, fondo de contingencia
2004	22230	Torla-Ordesa	Presupuestos	Consolidada	1017563,0	26505,0	110300,0	0,0	15900,0	864858,0	0,0	0,0	0,0	
2004	22232	Torralba de Aragón	Presupuestos	Consolidada	329300,0	17950,0	47400,0	1000,0	6050,0	252900,0	0,0	0,0	4000,0	
2004	22233	Torre la Ribera	Presupuestos	Consolidada	1152514,39	29267,41	48526,69	1861,0	4524,25	1063598,09	0,0	0,0	4736,95	
2004	22234	Torrente de Cinca	Presupuestos	Consolidada	614701,53	155551,52	250074,31	17668,22	38432,0	122300,0	0,0	0,0	30675,48	
2004	22235	Torres de Alcanadre	Presupuestos	Consolidada	162568,01	11507,05	33852,35	1168,11	11906,61	102172,06	0,0	0,0	1961,83	
2004	22236	Torres de Barbués	Presupuestos	Consolidada	224731,97	33010,47	68599,92	480,81	34640,77	88000,0	0,0	0,0	0,0	
2004	22239	Tramaced	Presupuestos	Consolidada	254858,89	20945,32	50410,08	723,4	2589,04	173658,92	0,0	0,0	6532,13	
2004	22242	Valfarta	Presupuestos	Consolidada	159123,5	7655,27	48311,16	101,0	4087,24	98968,83	0,0	0,0	0,0	
2004	22243	Valle de Bardají	Presupuestos	Sin información										
2004	22244	Valle de Lierp	Presupuestos	Sin información										
2004	22245	Velilla de Cinca	Presupuestos	Consolidada	274909,89	48895,2	128706,88	1060,0	22315,12	73932,69	0,0	0,0	0,0	
2004	22246	Beranuy	Presupuestos	Consolidada	1148815,0	12695,13	22093,62	320,0	4648,75	1109057,5	0,0	0,0	0,0	
2004	22247	Viacamp y Litera	Presupuestos	Sin información										
2004	22248	Vicién	Presupuestos	Consolidada	190285,34	17253,14	40098,86	601,01	1762,83	125734,65	0,0	0,0	4834,85	
2004	22249	Villanova	Presupuestos	Consolidada	168000,0	42600,0	44200,0	1500,0	15500,0	64200,0	0,0	0,0	0,0	
2004	22250	Villanúa	Presupuestos	Sin información										
2004	22251	Villanueva de Sigena	Presupuestos	Consolidada	492250,0	52500,0	173500,0	600,0	21100,0	244550,0	0,0	0,0	0,0	
2004	22252	Yebra de Basa	Presupuestos	Consolidada	388230,0	25900,0	39723,0	250,0	4600,0	317757,0	0,0	0,0	0,0	
2004	22253	Yésero	Presupuestos	Consolidada	454007,0	9871,0	29570,0	0,0	2510,0	412056,0	0,0	0,0	0,0	
2004	22254	Zaidín	Presupuestos	Consolidada	1382580,68	254464,66	376583,27	6399,52	61606,63	656100,69	12000,0	0,0	15425,91	
2004	22901	Valle de Hecho	Presupuestos	Consolidada	862900,0	201000,0	474650,0	13600,0	68600,0	104950,0	0,0	0,0	100,0	
2004	22902	Puente la Reina de Jaca	Presupuestos	Sin información										
2004	22903	San Miguel del Cinca	Presupuestos	Consolidada	1032361,0	87201,0	203870,0	8430,0	39800,0	671360,0	0,0	0,0	21700,0	
2004	22904	Sotonera (La)	Presupuestos	Consolidada	690480,4	160104,74	295192,26	11100,0	33669,0	134513,28	6010,12	0,0	49891,0	
