Municipio código	Municipio nombre	Año	Orden	Siglas	Concejales
50008	Alagón	2011	2	PSOE	6,0
50008	Alagón	2011	3	PAR	4,0
50008	Alagón	2011	4	CHA	1,0
50008	Alagón	2011	5	IU	1,0
50008	Alagón	2015	1	PP	1,0
50008	Alagón	2015	2	PSOE	5,0
50008	Alagón	2015	5	PAR	3,0
50008	Alagón	2015	7	CHA	1,0
50008	Alagón	2015	13	ARAGONSIPUEDE	1,0
50008	Alagón	2015	41	CCA-ZGZ	2,0
50009	Alarba	2007	1	PSOE	4,0
50009	Alarba	2007	2	PP	0,0
50009	Alarba	2007	3	PAR	1,0
50009	Alarba	2007	4	CHA	0,0
50009	Alarba	2011	1	PP	1,0
50009	Alarba	2011	2	PSOE	4,0
50009	Alarba	2011	3	PAR	0,0
50009	Alarba	2015	1	PP	2,0
50009	Alarba	2015	2	PSOE	3,0
50009	Alarba	2015	5	PAR	0,0
50010	Alberite de San Juan	2007	1	PSOE	0,0
50010	Alberite de San Juan	2007	2	PP	0,0
50010	Alberite de San Juan	2007	3	PAR	5,0
50010	Alberite de San Juan	2007	4	CHA	0,0
50010	Alberite de San Juan	2011	1	PP	0,0
50010	Alberite de San Juan	2011	2	PSOE	0,0
50010	Alberite de San Juan	2011	3	PAR	5,0
50010	Alberite de San Juan	2015	1	PP	0,0
50010	Alberite de San Juan	2015	2	PSOE	0,0
50010	Alberite de San Juan	2015	5	PAR	3,0
50011	Albeta	2007	1	PSOE	5,0
50011	Albeta	2007	2	PP	0,0
50011	Albeta	2007	4	CHA	0,0
50011	Albeta	2011	1	PP	0,0
50011	Albeta	2011	2	PSOE	5,0
50011	Albeta	2015	1	PP	0,0
50011	Albeta	2015	2	PSOE	5,0
50011	Albeta	2015	7	CHA	0,0
50012	Alborge	2007	1	PSOE	5,0
50012	Alborge	2007	2	PP	0,0
50012	Alborge	2007	3	PAR	0,0
50012	Alborge	2007	4	CHA	0,0
50012	Alborge	2007	5	IU	0,0
50012	Alborge	2011	1	PP	0,0
50012	Alborge	2011	2	PSOE	5,0
50012	Alborge	2011	3	PAR	0,0
50012	Alborge	2011	4	CHA	0,0
50012	Alborge	2011	5	IU	0,0
50012	Alborge	2015	1	PP	0,0
50012	Alborge	2015	2	PSOE	4,0
50012	Alborge	2015	5	PAR	0,0
50012	Alborge	2015	7	CHA	1,0
50013	Alcalá de Ebro	2007	1	PSOE	4,0
50013	Alcalá de Ebro	2007	2	PP	3,0
50013	Alcalá de Ebro	2007	3	PAR	0,0
50013	Alcalá de Ebro	2011	1	PP	2,0
50013	Alcalá de Ebro	2011	2	PSOE	4,0
50013	Alcalá de Ebro	2011	3	PAR	1,0
50013	Alcalá de Ebro	2015	1	PP	1,0
50013	Alcalá de Ebro	2015	2	PSOE	5,0
50013	Alcalá de Ebro	2015	5	PAR	1,0
50014	Alcalá de Moncayo	2007	1	PSOE	0,0
50014	Alcalá de Moncayo	2007	2	PP	1,0
50014	Alcalá de Moncayo	2007	3	PAR	4,0
50014	Alcalá de Moncayo	2007	4	CHA	0,0
50014	Alcalá de Moncayo	2011	1	PP	1,0
50014	Alcalá de Moncayo	2011	2	PSOE	0,0
50014	Alcalá de Moncayo	2011	3	PAR	4,0
50014	Alcalá de Moncayo	2011	4	CHA	0,0
50014	Alcalá de Moncayo	2011	5	IU	0,0
50014	Alcalá de Moncayo	2015	1	PP	1,0
50014	Alcalá de Moncayo	2015	2	PSOE	0,0
50014	Alcalá de Moncayo	2015	5	PAR	4,0
50015	Alconchel de Ariza	2007	1	PSOE	4,0
50015	Alconchel de Ariza	2007	2	PP	0,0
50015	Alconchel de Ariza	2007	3	PAR	1,0
50015	Alconchel de Ariza	2007	4	CHA	0,0
50015	Alconchel de Ariza	2007	5	IU	0,0
50015	Alconchel de Ariza	2011	1	PP	0,0
50015	Alconchel de Ariza	2011	2	PSOE	3,0
50015	Alconchel de Ariza	2011	3	PAR	0,0
50015	Alconchel de Ariza	2015	1	PP	0,0
50015	Alconchel de Ariza	2015	2	PSOE	3,0
50015	Alconchel de Ariza	2015	5	PAR	0,0
50016	Aldehuela de Liestos	2007	1	PSOE	0,0
50016	Aldehuela de Liestos	2007	2	PP	0,0
50016	Aldehuela de Liestos	2007	3	PAR	1,0
50016	Aldehuela de Liestos	2011	1	PP	0,0
50016	Aldehuela de Liestos	2011	2	PSOE	0,0
50016	Aldehuela de Liestos	2011	3	PAR	1,0
50016	Aldehuela de Liestos	2015	1	PP	0,0
50016	Aldehuela de Liestos	2015	2	PSOE	1,0
50017	Alfajarín	2007	1	PSOE	3,0
50017	Alfajarín	2007	2	PP	1,0
50017	Alfajarín	2007	3	PAR	5,0
50017	Alfajarín	2007	4	CHA	0,0
50017	Alfajarín	2007	5	IU	0,0
50017	Alfajarín	2011	1	PP	2,0
50017	Alfajarín	2011	2	PSOE	2,0
50017	Alfajarín	2011	3	PAR	4,0
50017	Alfajarín	2011	4	CHA	3,0
50017	Alfajarín	2015	1	PP	2,0
50017	Alfajarín	2015	2	PSOE	2,0
50017	Alfajarín	2015	5	PAR	5,0
50017	Alfajarín	2015	61	GA-ZGZ	2,0
50017	Alfajarín	2015	84	A.E.L.H.A.	0,0
50018	Alfamén	2007	1	PSOE	5,0
50018	Alfamén	2007	2	PP	0,0
50018	Alfamén	2007	3	PAR	4,0
50018	Alfamén	2011	1	PP	1,0
50018	Alfamén	2011	2	PSOE	4,0
50018	Alfamén	2011	3	PAR	4,0
50018	Alfamén	2011	4	CHA	0,0
50018	Alfamén	2015	1	PP	0,0
50018	Alfamén	2015	2	PSOE	4,0
50018	Alfamén	2015	5	PAR	5,0
50018	Alfamén	2015	7	CHA	0,0
50019	Alforque	2007	1	PSOE	1,0
50019	Alforque	2007	2	PP	0,0
50019	Alforque	2007	3	PAR	0,0
50019	Alforque	2011	1	PP	0,0
50019	Alforque	2011	2	PSOE	3,0
50019	Alforque	2011	3	PAR	0,0
50019	Alforque	2011	4	CHA	0,0
50019	Alforque	2011	5	IU	0,0
50019	Alforque	2015	1	PP	1,0
50019	Alforque	2015	2	PSOE	2,0
50019	Alforque	2015	5	PAR	0,0
50019	Alforque	2015	7	CHA	0,0
50020	Alhama de Aragón	2007	1	PSOE	1,0
50020	Alhama de Aragón	2007	2	PP	1,0
50020	Alhama de Aragón	2007	3	PAR	4,0
50020	Alhama de Aragón	2007	4	CHA	3,0
50020	Alhama de Aragón	2011	1	PP	1,0
50020	Alhama de Aragón	2011	2	PSOE	2,0
50020	Alhama de Aragón	2011	3	PAR	2,0
50020	Alhama de Aragón	2011	4	CHA	4,0
50020	Alhama de Aragón	2015	5	PAR	4,0
50020	Alhama de Aragón	2015	6	PSOE	1,0
50020	Alhama de Aragón	2015	7	CHA	3,0
50020	Alhama de Aragón	2015	8	PP	1,0
50021	Almochuel	2007	1	PSOE	0,0
50021	Almochuel	2007	2	PP	0,0
50021	Almochuel	2007	3	PAR	1,0
50021	Almochuel	2007	4	CHA	0,0
50021	Almochuel	2011	1	PP	0,0
50021	Almochuel	2011	2	PSOE	0,0
50021	Almochuel	2011	3	PAR	1,0
50021	Almochuel	2015	2	PSOE	0,0
50021	Almochuel	2015	5	PAR	1,0
50021	Almochuel	2015	17	IU-ZGZ	0,0
50022	Almolda (La)	2007	1	PSOE	3,0
50022	Almolda (La)	2007	2	PP	1,0
50022	Almolda (La)	2007	3	PAR	2,0
50022	Almolda (La)	2007	33	A AL	1,0
50022	Almolda (La)	2011	1	PP	1,0
50022	Almolda (La)	2011	2	PSOE	2,0
50022	Almolda (La)	2011	3	PAR	3,0
50022	Almolda (La)	2011	8	FIA	1,0
50022	Almolda (La)	2015	1	PP	1,0
50022	Almolda (La)	2015	2	PSOE	3,0
50022	Almolda (La)	2015	5	PAR	3,0
50023	Almonacid de la Cuba	2007	1	PSOE	2,0
50023	Almonacid de la Cuba	2007	2	PP	0,0
50023	Almonacid de la Cuba	2007	3	PAR	5,0
50023	Almonacid de la Cuba	2011	1	PP	0,0
50023	Almonacid de la Cuba	2011	2	PSOE	2,0
50023	Almonacid de la Cuba	2011	3	PAR	5,0
50023	Almonacid de la Cuba	2015	1	PP	0,0
50023	Almonacid de la Cuba	2015	2	PSOE	0,0
50023	Almonacid de la Cuba	2015	5	PAR	5,0
50023	Almonacid de la Cuba	2015	7	CHA	0,0
50023	Almonacid de la Cuba	2015	30	BAR	0,0
50024	Almonacid de la Sierra	2007	1	PSOE	7,0
50024	Almonacid de la Sierra	2007	2	PP	0,0
50024	Almonacid de la Sierra	2007	3	PAR	0,0
50024	Almonacid de la Sierra	2007	4	CHA	0,0
50024	Almonacid de la Sierra	2011	1	PP	0,0
50024	Almonacid de la Sierra	2011	2	PSOE	7,0
50024	Almonacid de la Sierra	2015	1	PP	0,0
50024	Almonacid de la Sierra	2015	2	PSOE	7,0
50025	Almunia de Doña Godina (La)	2007	1	PSOE	5,0
50025	Almunia de Doña Godina (La)	2007	2	PP	5,0
50025	Almunia de Doña Godina (La)	2007	3	PAR	1,0
50025	Almunia de Doña Godina (La)	2007	4	CHA	2,0
50025	Almunia de Doña Godina (La)	2011	1	PP	7,0
50025	Almunia de Doña Godina (La)	2011	2	PSOE	4,0
50025	Almunia de Doña Godina (La)	2011	3	PAR	0,0
50025	Almunia de Doña Godina (La)	2011	4	CHA	2,0
50025	Almunia de Doña Godina (La)	2015	1	PP	5,0
50025	Almunia de Doña Godina (La)	2015	2	PSOE	5,0
50025	Almunia de Doña Godina (La)	2015	5	PAR	0,0
50025	Almunia de Doña Godina (La)	2015	7	CHA	3,0
50026	Alpartir	2007	1	PSOE	6,0
50026	Alpartir	2007	2	PP	0,0
50026	Alpartir	2007	3	PAR	0,0
50026	Alpartir	2007	4	CHA	1,0
50026	Alpartir	2011	1	PP	3,0
50026	Alpartir	2011	2	PSOE	4,0
50026	Alpartir	2011	3	PAR	0,0
50026	Alpartir	2015	1	PP	3,0
50026	Alpartir	2015	2	PSOE	4,0
50027	Ambel	2007	1	PSOE	5,0
50027	Ambel	2007	2	PP	1,0
50027	Ambel	2007	3	PAR	1,0
50027	Ambel	2011	1	PP	3,0
50027	Ambel	2011	2	PSOE	3,0
50027	Ambel	2011	5	IU	1,0
50027	Ambel	2015	1	PP	5,0
50027	Ambel	2015	2	PSOE	2,0
50028	Anento	2007	1	PSOE	5,0
50028	Anento	2007	2	PP	0,0
50028	Anento	2007	3	PAR	0,0
50028	Anento	2007	4	CHA	0,0
50028	Anento	2011	2	PSOE	5,0
50028	Anento	2011	4	CHA	0,0
50028	Anento	2015	1	PP	0,0
50028	Anento	2015	2	PSOE	4,0
50028	Anento	2015	5	PAR	0,0
50028	Anento	2015	7	CHA	1,0
50029	Aniñón	2007	1	PSOE	6,0
50029	Aniñón	2007	2	PP	1,0
50029	Aniñón	2007	3	PAR	0,0
50029	Aniñón	2011	1	PP	1,0
50029	Aniñón	2011	2	PSOE	5,0
50029	Aniñón	2011	3	PAR	1,0
50029	Aniñón	2015	1	PP	2,0
