Año	Municipio código	Municipio nombre	Residencial	BI Almacén, estacionamiento	BI Comercial	BI Ocio, hostelería	BI Industrial	BI Cultural	BI Deportivo	BI Oficinas	BI Edificios singulares	BI Religioso	BI Espectáculos	BI Sin definir	BI Suelo vacante	BI Sanidad, benefic	Total
2003	50038	Ateca	1470,0											321,0			1791,0
2003	50039	Azuara	1093,0											143,0			1236,0
2003	50040	Badules	96,0											76,0			172,0
2003	50041	Bagüés	25,0											58,0			83,0
2003	50042	Balconchán	30,0											59,0			89,0
2003	50043	Bárboles	243,0											168,0			411,0
2003	50044	Bardallur	231,0											141,0			372,0
2003	50045	Belchite	975,0											218,0			1193,0
2003	50046	Belmonte de Gracián	197,0											170,0			367,0
2003	50047	Berdejo	67,0											94,0			161,0
2003	50048	Berrueco	24,0											59,0			83,0
2003	50050	Bijuesca	154,0											223,0			377,0
2003	50051	Biota	657,0											301,0			958,0
2003	50052	Bisimbre	74,0											47,0			121,0
2003	50053	Boquiñeni	413,0											316,0			729,0
2003	50054	Bordalba	98,0											200,0			298,0
2003	50055	Borja	2634,0											1518,0			4152,0
2003	50056	Botorrita	345,0											59,0			404,0
2003	50057	Brea de Aragón	928,0											706,0			1634,0
2003	50058	Bubierca	103,0											205,0			308,0
2003	50059	Bujaraloz	391,0											327,0			718,0
2003	50060	Bulbuente	298,0											98,0			396,0
2003	50061	Bureta	181,0											115,0			296,0
2003	50062	Burgo de Ebro (El)	1045,0											504,0			1549,0
2003	50063	Buste (El)	129,0											84,0			213,0
2003	50064	Cabañas de Ebro	253,0											212,0			465,0
2003	50065	Cabolafuente	101,0											196,0			297,0
2003	50066	Cadrete	1385,0											773,0			2158,0
2003	50067	Calatayud	9075,0											5910,0			14985,0
2003	50068	Calatorao	1295,0											584,0			1879,0
2003	50069	Calcena	110,0											34,0			144,0
2003	50070	Calmarza	200,0											44,0			244,0
2003	50071	Campillo de Aragón	181,0											140,0			321,0
2003	50072	Carenas	527,0											92,0			619,0
2003	50073	Cariñena	1524,0											551,0			2075,0
2003	50074	Caspe	4293,0											2666,0			6959,0
2003	50075	Castejón de Alarba	87,0											122,0			209,0
